source,target
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Incorrect Calculation
A vulnerability has been identified in EN100 Ethernet module IEC 61850 variant (All versions < V4.30) EN100 Ethernet module DNP3 variant (All versions < V1.04) EN100 Ethernet module PROFINET IO variant (All versions) EN100 Ethernet module Modbus TCP variant (All versions) EN100 Ethernet module IEC 104 variant (All versions < V1.22). The web interface (TCP 80) of affected devices allows an unauthenticated user to upgrade or downgrade the firmware of the device including to older versions with known vulnerabilities. ,Improper Authentication
Draytek Router Telecomm DrayTek Vigor2960 router Vigor2960 Linux Linux dropbear 0 49 ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Multiple stackbased buffer overflows in the DH_OneSecondTick function in Cogent DataHub 7.1.1.63 and earlier allow remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via long (1) domain (2) report_domain (3) register_datahub or (4) slave commands. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An issue was discovered on Intelbras IWR 3000N 1.5.0 devices. When the administrator password is changed from a certain client IP address administrative authorization remains available to any client at that IP address leading to complete control of the router. ,Improper Authentication
The web interface of the DLink DVA5592 20180823 is vulnerable to an authentication bypass that allows an unauthenticated user to have access to sensitive information such as the WiFi password and the phone number (if VoIP is in use). ,Improper Neutralization of Special Elements
An exploitable denialofservice vulnerability exists in the traversal of lists functionality of Natus Xltek NeuroWorks 8. A specially crafted network packet can cause an outofbounds read resulting in a denial of service. An attacker can send a malicious packet to trigger this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Baxter SIGMA Spectrum Infusion System version 6.05 (model 35700BAX) with wireless battery module (WBM) version 16 contains a hardcoded password which provides access to basic biomedical information limited device settings and networkConfiguration of the WBM if connected. The hardcoded password may allow an attacker with physical access to the device to access management functions to make unauthorizedConfiguration changes to biomedical settings such as turn on and off wireless connections and the phasecomplete audible alarm that indicates the end of an infusion phase. Baxter has released a new version of the SIGMA Spectrum Infusion System version 8 which incorporates hardware and software changes. ,Improper Authentication
The vulnerability exists within processing of loadtemplate.php in Schneider Electric U.motion Builder software versions prior to v1.3.4. The underlying SQLite database query is subject to SQL injection on the tpl input parameter. ,Improper Neutralization of Special Elements
Certain NETGEAR devices are affected by disclosure of sensitive information. This affects D3600 before 1.0.0.76 and D6000 before 1.0.0.76. ,Exposure of Sensitive Information to an Unauthorized Actor
XiaomiSmart Scooter OtherMI365 LwP,Improper Access Control
NETGEAR WiFi Access Point Telecomm NA WAC120Unknown,Insufficient Verification of Data Authenticity
NETGEAR WiFi System Telecomm NA RBR50 Unknown,Improper Neutralization of Special Elements
An issue was discovered on SoftCase TRouter build 20112017 devices. There are no restrictions on the 'exec command' feature of the TRouter protocol. If the command syntax is correct there is code execution both on the other modem and on the main servers. This is fixed in production builds as of Spring 2018. ,Incorrect Permission Assignment for Critical Resource
Crosssite scripting (XSS) vulnerability in the Diagnosis Ping feature in the administrative web interface on Moxa EDS405A and EDS408A switches with firmware before 3.6 allows remote attackers to inject arbitrary web script or HTML via an unspecified field. ,Improper Neutralization of Special Elements
An issue was discovered on DODOCOOL DC38 3in1 N300 Mini Wireless Range Extend RTN2AW.GD.R3465.1.20161103 devices. A Crosssite request forgery (CSRF) vulnerability allows remote attackers to hijack the authentication of users for requests that modify all the settings. This vulnerability can lead to changing an existing user's username and password changing the WiFi password etc. ,Insufficient Verification of Data Authenticity
Huawei eSpace 7910 and 7950 IP phones with software before V200R002C00SPC800 allow remote attackers with established sessions to cause a denial of service (device restart) via unspecified packets. ,Resource Management Errors
Integer overflow in Cogent DataHub 7.1.1.63 and earlier allows remote attackers to cause a denial of service (crash) via a negative or large ContentLength value. ,Numeric Errors
An exploitable code execution vulnerability exists in the UDP network functionality of Yi Home Camera 27US 1.8.7.0D. A specially crafted set of UDP packets can allocate unlimited memory resulting in denial of service. An attacker can send a set of packets to trigger this vulnerability. ,Uncontrolled Resource Consumption
Certain NETGEAR devices are affected by stored XSS. This affects RBR50 before 2.3.5.30 RBS50 before 2.3.5.30 and RBK50 before 2.3.5.30. ,Improper Neutralization of Special Elements
Directory traversal vulnerability in SYNCK GRAPHICA Download Log CGI 3.0 and earlier allows remote attackers to read arbitrary files via a crafted filename. ,Exposure of Resource to Wrong Sphere
On Honeywell Mobile Computers (CT60 running Android OS 7.1 CN80 running Android OS 7.1 CT40 running Android OS 7.1 CK75 running Android OS 6.0 CN75 running Android OS 6.0 CN75e running Android OS 6.0 CT50 running Android OS 6.0 D75e running Android OS 6.0 CT50 running Android OS 4.4 D75e running Android OS 4.4 CN51 running Android OS 6.0 EDA50k running Android 4.4 EDA50 running Android OS 7.1 EDA50k running Android OS 7.1 EDA70 running Android OS 7.1 EDA60k running Android OS 7.1 and EDA51 running Android OS 8.1) a skilled attacker with advanced knowledge of the target system could exploit this vulnerability by creating an application that would successfully bind to the service and gain elevated system privileges. This could enable the attacker to obtain access to keystrokes passwords personal identifiable information photos emails or businesscritical documents. ,Incorrect Permission Assignment for Critical Resource
The Baxter Spectrum WBM (v17 v20D29 v20D30 v20D31 and v22D24) telnet CommandLine Interface grants access to sensitive data stored on the WBM that permits temporaryConfiguration changes to network settings of the WBM and allows the WBM to be rebooted. TemporaryConfiguration changes to network settings are removed upon reboot. ,Incorrect Permission Assignment for Critical Resource
WebAccess Versions 8.3.2 and prior. The application fails to properly validate the length of usersupplied data causing a buffer overflow condition that allows for arbitrary remote code execution. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
ELECOM WiFi Router Telecomm WRC300FEBK WRC300FEBKS Linux Linux 1 0 realtek v1 3,Insufficient Verification of Data Authenticity
August Smart Bridge Smart Home NA Connect WiFi Bridge Unknown,Improper Access Control
The FTP service on Janitza UMG 508 509 511 604 and 605 devices has a default password which makes it easier for remote attackers to read or write to files via a session on TCP port 21. ,Credentials Management Errors
NETGEAR WiFi Router Telecomm NETGEAR XR500 XR500 Linux Linux ubuntu4ubuntu0 3 ubuntu4 ubuntu0 3 ubuntu 4 ,Improper Input Validation
A DLL Hijacking issue was discovered in Schneider Electric Interactive Graphical SCADA System (IGSS) Software Version 12 and previous versions. The software will execute a malicious file if it is named the same as a legitimate file and placed in a location that is earlier in the search path. ,Exposure of Resource to Wrong Sphere
On DLink DIR823G devices the GoAheadConfiguration allowsHNAP1 Command Injection via shell metacharacters in the POST data because this data is sent directly to the system library function. ,Improper Neutralization of Special Elements
An unauthenticated remote command execution exists in Aruba ClearPass Policy Manager on linked devices. The ClearPass OnConnect feature permits administrators to link other network devices into ClearPass for the purpose of collecting enhanced information about connected endpoints. A defect in the API could allow a remote attacker to execute arbitrary commands on one of the linked devices. This vulnerability is only applicable if credentials for devices have been supplied to ClearPass underConfiguration > Network > Devices > CLI Settings. Resolution: Fixed in 6.7.5 and 6.6.10hotfix. ,Credentials Management Errors
An issue was discovered on DLink DWR116 through 1.06 DWR512 through 2.02 DWR712 through 2.02 DWR912 through 2.02 DWR921 through 2.02 and DWR111 through 1.01 devices. An authenticated attacker may execute arbitrary code by injecting the shell command into the chkisg.htm page Sip parameter. This allows for full control over the device internals. ,Improper Neutralization of Special Elements
An issue was discovered in Hanwha Techwin Smart Security Manager Versions 1.5 and prior. Multiple Path Traversal vulnerabilities have been identified. The flaws exist within the ActiveMQ Broker service that is installed as part of the product. By issuing specific HTTP requests if a user visits a malicious page an attacker can gain access to arbitrary files on the server. Smart Security Manager Versions 1.4 and prior to 1.31 are affected by these vulnerabilities. These vulnerabilities can allow for remote code execution. ,Exposure of Resource to Wrong Sphere
Unify (former Siemens) OpenStage SIP and OpenScape Desk Phone IP V3 devices before R3.32.0 allow remote attackers to gain superuser privileges by leveraging SSH access and incorrect ownership of (1) ConfigureCoreFile.sh (2) Traceroute.sh (3) apps.sh (4) conversion_java2native.sh (5) coreCompression.sh (6) deletePasswd.sh (7) findHealthSvcFDs.sh (8) fw_printenv.sh (9) fw_setenv.sh (10) hw_wd_kicker.sh (11) new_rootfs.sh (12) opera_killSnmpd.sh (13) opera_startSnmpd.sh (14) rebootOperaSoftware.sh (15) removeLogFiles.sh (16) runOperaServices.sh (17) setPasswd.sh (18) startAccTestSvcs.sh (19) usbNotification.sh or (20) appWeb inOpera_Deploy. ,Permissions; Privileges; and Access Controls
In ABB IP GATEWAY 3.39 and prior the web server does not sufficiently verify that a request was performed by the authenticated user which may allow an attacker to launch a request impersonating that user. ,Insufficient Verification of Data Authenticity
An issue was discovered in Kabona AB WebDatorCentral (WDC) application prior to Version 3.4.0. This nonvalidated redirect nonvalidated forward (OPEN REDIRECT) allows chaining with authenticated vulnerabilities. ,Externally Controlled Reference to a Resource in Another Sphere
In Emerson Ovation OCR400 Controller 3.3.1 and earlier a heapbased buffer overflow vulnerability in the embedded thirdparty FTP server involves improper handling of a long command to the FTP service which may cause memory corruption that halts the controller or leads to remote code execution and escalation of privileges. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An Improper Neutralization of Special Elements used in an OS Command issue was discovered in Digium Asterisk GUI 2.1.0 and prior. An OS command injection vulnerability has been identified that may allow the execution of arbitrary code on the system through the inclusion of OS commands in the URL request of the program. ,Improper Neutralization of Special Elements
AudioCodes IP Phone Telecomm NA 420HD Unknown,Missing Authorization
IO DATA DEVICE WFSSR01 firmware version 1.10 and earlier allow remote attackers to execute arbitrary OS commands via unspecified vectors. ,Improper Neutralization of Special Elements
In Advantech WebAccess versions V8.2_20170817 and prior WebAccess versions V8.3.0 and prior WebAccess Dashboard versions V.2.0.15 and prior WebAccess Scada Node versions prior to 8.3.1 and WebAccess NMS 2.0.3 and prior a path transversal vulnerability has been identified which may allow an attacker to execute arbitrary code. ,Exposure of Resource to Wrong Sphere
Yeelight Smart AI Speaker 3.3.10_0074 devices haveImproper Authorizationover the UART interface allowing physical attackers to obtain a root shell. The attacker can then exfiltrate the audio data read cleartext WiFi credentials in a log file or access other sensitive device and user information. ,Incorrect Permission Assignment for Critical Resource
The web server in Siemens WinCC before 7.2 as used in SIMATIC PCS7 before 8.0 SP1 and other products allows remote attackers to obtain sensitive information or cause a denial of service via a crafted project file. ,Exposure of Sensitive Information to an Unauthorized Actor
The Conexus telemetry protocol utilized within Medtronic MyCareLink Monitor versions 24950 and 24952 CareLink Monitor version 2490C CareLink 2090 Programmer Amplia CRTD Claria CRTD Compia CRTD Concerto CRTD Concerto II CRTD Consulta CRTD Evera ICD Maximo II CRTD and ICD Mirro ICD Nayamed ND ICD Primo ICD Protecta ICD and CRTD Secura ICD Virtuoso ICD Virtuoso II ICD Visia AF ICD and Viva CRTD does not implement authentication or authorization. An attacker with adjacent shortrange access to an affected product in situations where the productÃ¢â‚¬â„¢s radio is turned on can inject replay modify and or intercept data within the telemetry communication. This communication protocol provides the ability to read and write memory values to affected implanted cardiac devices; therefore an attacker could exploit this communication protocol to change memory in the implanted cardiac device. ,Improper Authentication
An issue was discovered on Systrome ISG600C ISG600H and ISG800W 1.1R2.1_TRUNK20180914.bin devices. There is CSRF viaui ?g=obj_keywords_add andui ?g=obj_keywords_addsave with resultant XSS because of a lack of csrf token validation. ,Insufficient Verification of Data Authenticity
ZyXEL P660HW v3 devices allow remote attackers to cause a denial of service (router unreachable unresponsive) via a flood of fragmented UDP packets. ,Improper Privilege Management
SQL injection vulnerability in Invensys Wonderware Information Server 4.0 SP1 and 4.5 allows remote attackers to execute arbitrary SQL commands via unspecified vectors. ,Improper Neutralization of Special Elements
Certain NETGEAR devices are affected by stored XSS. This affects RBR20 before 2.3.5.26 RBS20 before 2.3.5.26 RBK20 before 2.3.5.26 RBR40 before 2.3.5.30 RBS40 before 2.3.5.30 RBK40 before 2.3.5.30 RBR50 before 2.3.5.30 RBS50 before 2.3.5.30 and RBK50 before 2.3.5.30. ,Improper Neutralization of Special Elements
Certain NETGEAR devices are affected by a stackbased buffer overflow by an authenticated user. This affects D6100 before 1.0.0.57 D7800 before 1.0.1.28 R7500v2 before 1.0.3.24 R7800 before 1.0.2.40 and R9000 before 1.0.3.6. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Schneider Electric Ampla MES 6.4 provides capability to configure users and their privileges. When Ampla MES users are configured to use Simple Security a weakness in the password hashing algorithm could be exploited to reverse the user's password. Schneider Electric recommends that users of Ampla MES versions 6.4 and prior should upgrade to Ampla MES version 6.5 as soon as possible. ,Inadequate Encryption Strength
An exploitable code execution vulnerability exists in the HTTP requestparsing function of the NT9665X Chipset firmware running on the Anker Roav A1 Dashcam version RoavA1SWV1.9. A specially crafted packet can cause an unlimited and arbitrary write to memory resulting in code execution. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
NETGEAR WiFi Router Telecomm NETGEAR D3600 D3600 Linux Linux dropbear 0 48 ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An Unrestricted Upload of File with Dangerous Type issue was discovered in Automated Logic Corporation (ALC) ALC WebCTRL iVu SiteScan Web 6.5 and prior; ALC WebCTRL SiteScan Web 6.1 and prior; ALC WebCTRL iVu 6.0 and prior; ALC WebCTRL iVu SiteScan Web 5.5 and prior; and ALC WebCTRL iVu SiteScan Web 5.2 and prior. An authenticated attacker may be able to upload a malicious file allowing the execution of arbitrary code. ,Incorrect Resource Transfer Between Spheres
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by incorrectConfiguration of security settings. This affects D1500 before 1.0.0.27 D500 before 1.0.0.27 D6100 before 1.0.0.57 D6220 before 1.0.0.40 D6400 before 1.0.0.74 D7000 before 1.0.1.60 D7800 before 1.0.1.34 D8500 before 1.0.3.39 DGN2200v4 before 1.0.0.94 DGN2200Bv4 before 1.0.0.94 EX2700 before 1.0.1.42 EX3700 before 1.0.0.64 EX3800 before 1.0.0.64 EX6000 before 1.0.0.24 EX6100 before 1.0.2.18 EX6120 before 1.0.0.32 EX6130 before 1.0.0.22 EX6150 before 1.0.0.34_1.0.70 EX6200 before 1.0.3.82_1.1.117 EX6400 before 1.0.1.78 EX7000 before 1.0.0.56 EX7300 before 1.0.1.78 JNR1010v2 before 1.1.0.42 JR6150 before 1.0.1.10 JWNR2010v5 before 1.1.0.42 PR2000 before 1.0.0.22 R6050 before 1.0.1.10 R6100 before 1.0.1.16 R6220 before 1.1.0.50 R6250 before 1.0.4.14 R6300v2 before 1.0.4.12 R6400v2 before 1.0.2.34 R6700 before 1.0.1.26 R6900 before 1.0.1.26 R6900P before 1.2.0.22 R7000 before 1.0.9.6 R7000P before 1.2.0.22 R7100LG before 1.0.0.40 R7300DST before 1.0.0.54 R7500 before 1.0.0.110 R7500v2 before 1.0.3.26 R7800 before 1.0.2.44 R7900 before 1.0.1.26 R8000 before 1.0.3.48 R8300 before 1.0.2.104 R8500 before 1.0.2.104 R9000 before 1.0.3.10 WN2000RPTv3 before 1.0.1.26 WN2500RPv2 before 1.0.1.46 WN3000RPv3 before 1.0.2.66 WN3100RPv2 before 1.0.0.56 WNDR3400v3 before 1.0.1.14 WNDR3700v4 before 1.0.2.96 WNDR3700v5 before 1.1.0.54 WNDR4300 before 1.0.2.98 WNDR4300v2 before 1.0.0.48 WNDR4500v3 before 1.0.0.48 WNR1000v4 before 1.1.0.42 WNR2000v5 before 1.0.0.64 WNR2020 before 1.1.0.42 and WNR2050 before 1.1.0.42. ,Improper Neutralization of Special Elements
Race condition in Advantech WebAccess before 8.1 allows remote attackers to execute arbitrary code or cause a denial of service (buffer overflow) via a crafted request. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by a buffer overflow by an authenticated user. This affects D6220 before 1.0.0.38 D6400 before 1.0.0.74 D7000v2 before 1.0.0.74 D8500 before 1.0.3.39 DGN2200v4 before 1.0.0.102 DGN2200Bv4 before 1.0.0.102 EX3700 before 1.0.0.70 EX3800 before 1.0.0.70 EX6000 before 1.0.0.30 EX6100 before 1.0.2.22 EX6120 before 1.0.0.40 EX6130 before 1.0.0.22 EX6150 before 1.0.0.38 EX6200 before 1.0.3.86 EX7000 before 1.0.0.64 R6250 before 1.0.4.20 R6300v2 before 1.0.4.22 R6400 before 1.0.1.32 R6400v2 before 1.0.2.52 R6700 before 1.0.1.44 R6900 before 1.0.1.44 R6900P before 1.3.0.18 R7000 before 1.0.9.28 R7000P before 1.3.0.18 R7300DST before 1.0.0.62 R7900 before 1.0.2.10 R7900P before 1.3.0.10 R8000 before 1.0.4.12 R8000P before 1.3.0.10 R8300 before 1.0.2.116 R8500 before 1.0.2.116 WN2500RPv2 before 1.0.1.52 WNDR3400v3 before 1.0.1.18 and WNR3500Lv2 before 1.2.0.46. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Siemens SIMATIC STEP 7 (TIA Portal) before 13 SP1 determines a user's privileges on the basis of projectfile fields that lack integrity protection which allows remote attackers to establish arbitrary authorization data via a modified file. ,Permissions; Privileges; and Access Controls
DLink DCHM225 1.05b01 and earlier devices allow remote authenticated admins to execute arbitrary OS commands via shell metacharacters in the media renderer name. ,Improper Neutralization of Special Elements
Foscam WiFi Camera Smart Home Foscam C2 C2 Linux Linux Debian10+deb10u2 Debian10 deb10u2 ,Improper Access Control
Yi Smart Camera Smart Home NA 27US Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
CommScope ARRIS TR4400 devices with firmware through A1.00.004180301 are vulnerable to an authentication bypass to the administrative interface because they include the current base64 encoded password within http:192.168.1.1 basic_sett.html. Any user connected to the WiFi can exploit this. ,Inadequate Encryption Strength
Stackbased buffer overflow in Advantech WebAccess before 7.2 allows remote attackers to execute arbitrary code via a long NodeName2 argument. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
A Predictable Value Range from Previous Values issue was discovered in Schneider Electric Modicon PLCs Modicon M221 firmware versions prior to Version 1.5.0.0 Modicon M241 firmware versions prior to Version 4.0.5.11 and Modicon M251 firmware versions prior to Version 4.0.5.11. The affected products generate insufficiently random TCP initial sequence numbers that may allow an attacker to predict the numbers from previous values. This may allow an attacker to spoof or disrupt TCP connections. ,Use of Insufficiently Random Values
An Absolute Path Traversal issue was discovered in Advantech WebAccess Version 8.1 and prior. The absolute path traversal vulnerability has been identified which may allow an attacker to traverse the file system to access restricted files or directories. ,Exposure of Resource to Wrong Sphere
DLink WiFi Router Telecomm DIR809 DIR809 Linux Linux ,Insufficiently Protected Credentials
Cisco IOS 12.0 12.2 12.4 15.0 15.1 15.2 and 15.3 and IOS XE 2.x and 3.x before 3.7.4S; 3.2.xSE and 3.3.xSE before 3.3.2SE; 3.3.xSG and 3.4.xSG before 3.4.4SG; and 3.8.xS 3.9.xS and 3.10.xS before 3.10.1S allow remote attackers to cause a denial of service (device reload) via malformed RSVP packets aka Bug ID CSCui11547. ,Improper Input Validation
Integer underflow in the add_pseudoheader function in dnsmasq before 2.78when the addmac addcpeid or addsubnet option is specified allows remote attackers to cause a denial of service via a crafted DNS request. ,Incorrect Calculation
Remote code execution in Hanwha Techwin Smartcams ,Improper Input Validation
An issue was discovered on Samsung mobile devices with O(8.x) software. The Smartwatch displays Secure Folder Notification content. The Samsung ID is SVE201812458 (September 2018). ,Exposure of Sensitive Information to an Unauthorized Actor
Certain NETGEAR devices are affected by a stackbased buffer overflow by an unauthenticated attacker. This affects WAC505 before 5.0.5.4 WAC510 before 5.0.5.4 WAC120 before 2.1.7 WN604 before 3.3.10 WNAP320 before 3.7.11.4 WNAP210v2 before 3.7.11.4 WNDAP350 before 3.7.11.4 WNDAP360 before 3.7.11.4 WNDAP660 before 3.7.11.4 WNDAP620 before 2.1.7 and WND930 before 2.1.5. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
A crosssite scripting vulnerability has been identified in Geutebruck GCam EFD2250 Version 1.12.0.4 and Topline TopFD2125 Version 3.15.1 IP cameras which may allow remote code execution. ,Improper Neutralization of Special Elements
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Multiple crosssite scripting (XSS) vulnerabilities in the web interface on Janitza UMG 508 509 511 604 and 605 devices allow remote attackers to inject arbitrary web script or HTML via unspecified vectors. ,Improper Neutralization of Special Elements
Tata Sonata Smart Band Wearableswd77087pp01 LwP,Insufficient Verification of Data Authenticity
Crosssite scripting (XSS) vulnerability in the integrated web server on Siemens SIMATIC S71500 CPU PLC devices with firmware before 1.5.0 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors. ,Improper Neutralization of Special Elements
The ABB HMI components implement hidden administrative accounts that are used during the provisioning phase of the HMI interface. These credentials allow the provisioning tool Panel Builder 600 to flash a new interface and Tags (MODBUS coils) mapping to the HMI. These credentials are the idal123 password for the IdalMaster account and the exor password for the exor account. These credentials are used over both HTTP(S) and FTP. There is no option to disable or change these undocumented credentials. An attacker can use these credentials to login to ABB HMI to read write HMIConfiguration files and also to reset the device. This affects ABB CP635 HMI CP600 HMIClient Panel Builder 600 IDAL FTP server IDAL HTTP server and multiple other HMI components. ,Improper Authentication
NEC WiFi Router Telecomm Aterm WG2600HS WG2600HS Unknown,Improper Neutralization of Special Elements
A weakness in access controls in CENTUM CS 1000 all versions CENTUM CS 3000 versions R3.09.50 and earlier CENTUM CS 3000 Small versions R3.09.50 and earlier CENTUM VP versions R6.03.10 and earlier CENTUM VP Small versions R6.03.10 and earlier CENTUM VP Basic versions R6.03.10 and earlier Exaopc versions R3.75.00 and earlier B M9000 CS all versions and B M9000 VP versions R8.01.01 and earlier may allow a local attacker to exploit the message management function of the system. A CVSS v3 base score of 6.5 has been calculated; the CVSS vector string is (AV:L AC:H PR:L UI:N S:U C:L I:H A:H). ,Improper Neutralization of Special Elements
GE Healthcare Centricity PACS Workstation 4.0 and 4.0.1 and Server 4.0 has a password of 2charGE for the geservice account which has unspecified impact and attack vectors related to TimbuktuPro.NOTE: it is not clear whether this password is default hardcoded or dependent on another system or product that requires it. ,Credentials Management Errors
Black Box AlertWerks ServSensor with firmware before SP473 AlertWerks ServSensor Junior with firmware before SP473 AlertWerks ServSensor Junior with PoE with firmware before SP473 and AlertWerks ServSensor Contact with firmware before SP473 allow remote authenticated users to discover administrator and user passwords via unspecified vectors. ,Exposure of Sensitive Information to an Unauthorized Actor
An Incorrect Default Permissions issue was discovered in Schneider Electric Wonderware InduSoft Web Studio v8.0 Patch 3 and prior versions. Upon installation Wonderware InduSoft Web Studio creates a new directory and two files which are placed in the system's path and can be manipulated by nonadministrators. This could allow an authenticated user to escalate his or her privileges. ,Incorrect Permission Assignment for Critical Resource
The XPath functionality in unspecified web applications in Siemens WinCC 7.0 SP3 before Update 2 does not properly handle special characters in parameters which allows remote authenticated users to read or modify settings via a crafted URL related to an XML injection attack. ,Improper Neutralization of Special Elements
An issue was discovered on TPLink TLWR840N v5 00000005 0.9.1 3.16 v0001.0 Build 170608 Rel.58696n and TLWR841N v13 00000013 0.9.1 4.16 v0001.0 Build 170622 Rel.64334n devices. This issue is caused by improper session handling on thecgifolder or acgi file. If an attacker sends a header of Referer: http:192.168.0.1 mainFrame.htm then no authentication is required for any action. ,Externally Controlled Reference to a Resource in Another Sphere
MASTER IPCAMERA01 3.3.4.2103 devices allow Remote Command Execution related to the thttpd component. ,Improper Protection of Alternate Path
An exploitable firmware update vulnerability exists in the NT9665X Chipset firmware running on Anker Roav A1 Dashcam version RoavA1SWV1.9. The HTTP server allows for arbitrary firmware binaries to be uploaded which will be flashed upon next reboot. An attacker can send an HTTP PUT request or upgrade firmware request to trigger this vulnerability. ,Improper Input Validation
In ATI Systems Emergency Mass Notification Systems (HPSS16 HPSS32 MHPSS and ALERT4000) devices a missing encryption of sensitive data vulnerability caused by specially crafted malicious radio transmissions may allow an attacker to remotely trigger false alarms. ,Missing Encryption of Sensitive Data
Format string vulnerability in BACnOPCServer.exe in the SOAP web interface in SCADA Engine BACnet OPC Server before 2.1.371.24 allows remote attackers to execute arbitrary code via format string specifiers in a request. ,Improper Input Validation
The ssl3_send_client_key_exchange function in s3_clnt.c in OpenSSL before 0.9.8za 1.0.0 before 1.0.0m and 1.0.1 before 1.0.1h when an anonymous ECDH cipher suite is used allows remote attackers to cause a denial of service (NULL pointer dereference and client crash) by triggering a NULL certificate value. ,Cryptographic Issues
In Ice Qube Thermal Management Center versions prior to version 4.13 passwords are stored in plaintext in a file that is accessible without authentication. ,Insufficiently Protected Credentials
Tzumi Electronics Smart Lock Smart Home5686 LwP,Improper Access Control
Directory traversal vulnerability in Advantech WebAccess before 8.1 allows remote attackers to list arbitrary virtualdirectory files via unspecified vectors. ,Exposure of Resource to Wrong Sphere
An issue was discovered on Momentum Axel 720P 5.1.8 devices. There is Authenticated Custom Firmware Upgrade via DNS Hijacking. An authenticated root user with CLI access is able to remotely upgrade firmware to a custom image due to lack of SSL validation by changing the nameservers inetc resolv.conf to the attacker's server and serving the expected HTTPS response containing new firmware for the device to download. ,Improper Authentication
An issue was discovered in Honeywell XL Web II controller XL1000C500 XLWebExe20100 and prior and XLWeb 500 XLWebExe10208 and prior. A user with low privileges is able to open and change the parameters by accessing a specific URL because of Improper Privilege Management. ,Improper Privilege Management
If an attacker has physical access to the VGo Robot (Versions 3.0.3.52164 and 3.0.3.53662. Prior versions may also be affected) they may be able to alter scripts which may allow code execution with root privileges. ,Improper Authorization
GE Communicator all versions prior to 4.0.517 allows a nonadministrative user to place malicious files within the installer file directory which may allow an attacker to gain administrative privileges on a system during installation or upgrade. ,Exposure of Resource to Wrong Sphere
mplus CBC383Z CBC383Z_mplus_MDr026 devices allow remote attackers to discover credentials via iso.3.6.1.4.1.4491.2.4.1.1.6.1.1.0 and iso.3.6.1.4.1.4491.2.4.1.1.6.1.2.0 SNMP requests. ,Insufficiently Protected Credentials
 Under specific 802.11 network conditions a partial reassociation of the Philips IntelliVue MX40 Version B.06.18 WLAN monitor to the central monitoring station is possible. In this state the central monitoring station can indicate the MX40 is not connected or associated to the central monitor and thus should be operating in local monitoring mode (local audioon screenon) but the MX40 WLAN itself can instead still be operating in telemetry mode (local audiooff screenoff). If a patient experiences an alarm event and clinical staff expects the MX40 to provide local alarming when it is not available from the local device a delay of treatment can occur. CVSS v3 base score: 6.5 CVSS vector string: AV:A AC:L PR:N UI:N S:U C:N I:N A:H. Philips has released software update Version B.06.18 to fix the improper cleanup on thrown exception vulnerability and implement mitigations to reduce the risk associated with the improper handling of exceptional conditions vulnerability. The software update implements messaging and alarming on the MX40 and at the central monitoring station when the MX40 disconnects from the access point. ,Improper Handling of Exceptional Conditions
LCDS Laquis SCADA prior to version 4.1.0.4150 allows taking in user input without proper authorization or sanitation which may allow an attacker to execute remote code on the server. ,Missing Authorization
The Quagga BGP daemon (bgpd) prior to version 1.2.3 can doublefree memory when processing certain forms of UPDATE message containing clusterlist and or unknown attributes. A successful attack could cause a denial of service or potentially allow an attacker to execute arbitrary code. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
NETGEAR WiFi Router Telecomm NETGEAR R7800 R7800 Linux Linux 1 3 5a ,Exposure of Sensitive Information to an Unauthorized Actor
IntelliVue Patient Monitors MP Series (including MP2 X2 MP30 MP50 MP70 NP90 MX700 800) Rev BM IntelliVue Patient Monitors MX (MX400550) Rev JM and (X3 MX100 for Rev M only) and Avalon Fetal Maternal Monitors FM20 FM30 FM40 FM50 with software Revisions F.0 G.0 and J.3 have a vulnerability that exposes an echo service in which an attackersent buffer to an attackerchosen device address within the same subnet is copied to the stack with no boundary checks hence resulting in stack overflow. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
